ÈÕÆÚ,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH
2014/1/2,6.1569,6.6557,4.74,3.9,9.6035,14.441,7.8442,1.2999
2014/1/3,6.1968,6.6557,4.7,3.78,9.6035,14.0281,7.6104,1.3007
2014/1/6,5.7784,6.4375,4.55,3.56,10.5625,13.4358,7.3112,1.2631
2014/1/7,5.9776,6.5962,4.52,3.54,10.5625,13.5076,7.3954,1.2746
2014/1/8,6.1271,6.6458,4.49,3.48,10.5625,12.9332,7.3112,1.2738
2014/1/9,6.3064,6.5962,4.58,3.52,10.5625,13.0229,7.3019,1.2689
2014/1/10,6.2466,6.626,4.52,3.46,10.5625,12.7806,7.143,1.2623
2014/1/13,6.0972,6.4573,4.53,3.44,10.5625,12.7716,7.171,1.2615
2014/1/14,6.1868,6.5268,4.76,3.78,10.5625,13.2652,7.3019,1.2721
2014/1/15,6.5654,6.5069,4.95,4.12,10.5625,13.2293,7.3954,1.2803
2014/1/16,6.4558,6.4474,4.86,4.06,10.5625,13.337,7.3206,1.2819
2014/1/17,6.5056,6.1598,4.87,4.35,10.5625,13.3819,7.3206,1.2901
2014/1/20,6.416,6.1102,4.84,4.35,10.5625,13.1037,7.2832,1.2844
2014/1/21,6.3662,6.1796,5,4.35,10.5625,13.2383,7.3206,1.2974
2014/1/22,6.4658,6.3086,5.08,4.36,10.5625,13.705,7.4515,1.3137
2014/1/23,6.6949,6.2887,5.04,4.35,10.5625,13.6871,7.4608,1.3178
2014/1/24,7.3624,6.4077,4.96,4.3,10.5625,13.6422,7.545,1.3023
2014/1/27,7.2429,6.4077,5.08,4.29,10.5625,13.3281,7.4982,1.2827
2014/1/28,7.2628,6.3482,5.1,4.29,10.5625,13.1306,7.5917,1.2917
2014/1/29,7.203,6.3582,5.07,4.47,10.5625,12.7357,7.5637,1.2729
2014/1/30,7.203,6.3383,4.98,4.43,10.5625,12.8165,7.4608,1.2689
2014/2/7,7.203,6.3978,5.02,4.56,10.5625,13.0409,7.5637,1.2721
2014/2/10,7.203,6.497,5.07,4.54,10.5625,13.5524,7.7507,1.2884
2014/2/11,7.203,6.6458,5.16,4.6,10.5625,14.3692,7.9844,1.3023
2014/2/12,7.203,6.6656,5.29,4.57,10.5625,14.4769,8.0498,1.3113
2014/2/13,7.203,6.5665,5.11,4.48,10.5625,14.0371,7.9937,1.2982
2014/2/14,7.203,6.7748,5.19,4.53,10.5625,14.091,8.1994,1.3007
2014/2/17,7.203,6.8442,5.24,4.34,10.5625,14.2435,8.2368,1.2893
2014/2/18,7.203,6.7748,5.32,4.32,10.5625,14.091,8.1807,1.2656
2014/2/19,7.203,6.8243,5.62,4.55,10.5625,14.1089,8.162,1.2542
2014/2/20,7.203,6.6954,5.5,4.54,10.5625,14.2705,7.9564,1.2436
2014/2/21,7.203,6.5764,5.38,4.47,10.5625,14.1269,7.975,1.2232
2014/2/24,7.203,6.6061,5.24,4.41,10.5625,13.5255,7.8348,1.2183
2014/2/25,7.203,6.4077,4.95,4.4,10.5625,12.9332,7.4702,1.2142
2014/2/26,7.203,6.4772,5.03,4.37,10.5625,13.0947,7.5543,1.2281
2014/2/27,7.203,6.4871,4.94,4.32,10.5625,12.8344,7.4608,1.237
2014/2/28,7.203,6.5367,5.23,4.47,10.5625,12.996,7.5637,1.2452
2014/3/3,7.203,6.616,5.24,4.41,10.5625,13.5704,7.76,1.246
2014/3/4,7.203,6.6557,5.25,4.42,10.5625,13.355,7.9564,1.2256
2014/3/5,7.203,6.6359,5.22,4.34,10.5625,13.355,7.8816,1.224
2014/3/6,7.203,6.6557,5.15,4.39,10.5625,13.1575,7.9283,1.2436
2014/3/7,7.203,6.6061,5.05,4.36,10.5625,12.9152,7.9003,1.2281
2014/3/10,7.203,6.3284,4.86,4.26,10.5625,12.4306,7.6291,1.2036
2014/3/11,7.203,6.3383,4.88,4.22,10.5625,12.5652,7.6011,1.2077
2014/3/12,7.203,6.3681,4.88,4.18,10.5625,12.5652,7.8722,1.193
2014/3/13,7.203,6.4177,4.92,4.24,10.5625,12.6549,7.919,1.2003
2014/3/14,7.203,6.4177,4.95,4.24,9.5036,12.4575,7.919,1.1897
2014/3/17,7.203,6.5169,5.17,4.31,9.124,12.6908,8.1153,1.175
2014/3/18,7.203,6.6061,5.23,4.32,9.3504,12.8255,8.0779,1.1816
2014/3/19,7.203,6.7351,5.22,4.32,9.2039,12.7985,8.0966,1.1718
2014/3/20,7.203,6.616,5,4.21,8.8643,12.5293,7.8068,1.1514
2014/3/21,7.203,6.8541,5.09,4.28,8.9775,12.9062,7.975,1.144
2014/3/24,7.203,6.8045,5.1,4.17,9.0508,12.8524,8.1901,1.1587
2014/3/25,7.203,6.7252,5.17,4.16,9.164,13.1845,8.134,1.1856
2014/3/26,7.203,6.7152,5.18,4.23,9.1706,12.996,8.2368,1.1742
2014/3/27,7.203,6.626,5.03,4.13,9.4104,13.0857,7.9937,1.1742
2014/3/28,7.203,6.4772,5,4.15,9.2039,13.1486,7.8535,1.1718
2014/3/31,7.203,6.6756,5.2,4.1,9.2506,13.0947,7.7039,1.1701
2014/4/1,7.203,6.6756,5.18,4.08,9.2905,13.0229,7.9003,1.1669
2014/4/2,7.203,6.7053,5.17,4.08,9.5502,13.0229,7.9844,1.1669
2014/4/3,7.203,6.7152,5.12,4.02,9.4903,12.9152,7.9844,1.1669
2014/4/4,7.203,6.8243,5.15,4.12,9.5303,13.0229,8.1527,1.1709
2014/4/8,7.203,6.9831,5.17,4.19,9.6302,13.2293,8.1714,1.175
2014/4/9,7.203,6.8938,5.15,4.2,9.5636,13.3999,8.2088,1.1807
2014/4/10,7.203,6.8243,5.15,4.21,9.5835,13.4268,8.134,1.1816
2014/4/11,7.203,6.6954,5.15,4.18,9.6968,13.5345,8.3584,1.1742
2014/4/14,7.203,6.8938,5.21,4.14,9.7634,13.5076,8.4612,1.1669
2014/4/15,7.203,7.0227,5.17,4.18,9.5702,13.3909,8.3771,1.1636
2014/4/16,7.203,7.1616,5.22,4.19,9.5902,13.5165,8.3771,1.1612
2014/4/17,7.203,7.0624,5.4,4.42,9.6834,13.9563,8.6763,1.1669
2014/4/18,7.203,7.1418,5.4,4.42,9.8366,13.723,8.6669,1.1652
2014/4/21,7.203,7.0029,5.4,4.42,9.9565,13.2024,8.4051,1.1587
2014/4/22,7.203,6.9434,5.4,4.42,10.1163,13.3999,8.2275,1.1579
2014/4/23,7.203,6.9235,5.4,4.42,10.1829,13.2563,8.1527,1.1571
2014/4/24,7.203,6.8144,5.4,4.42,9.83,12.9421,8.162,1.1505
2014/4/25,7.203,6.5565,5.25,4.32,10.1963,12.7267,8.0779,1.1375
2014/4/28,7.203,6.3086,5.19,4.27,10.4826,12.5293,7.9096,1.0991
2014/4/29,7.203,6.4276,5.38,4.32,11.2285,12.8344,8.2742,1.1122
2014/4/30,7.203,6.4973,5.41,4.75,11.2618,13.1755,8.4238,1.1424
2014/5/5,7.203,6.5073,5.53,4.72,11.455,13.1755,8.4425,1.1375
2014/5/6,7.203,6.5771,5.52,4.7,11.3684,13.1575,8.6015,1.1334
2014/5/7,7.203,6.3678,5.88,4.87,11.0021,12.9691,8.4612,1.1261
2014/5/8,7.203,6.3977,5.7,4.82,10.9555,13.0139,8.3958,1.1195
2014/5/9,7.203,6.4376,5.86,4.86,10.0231,12.9062,8.1059,1.1171
2014/5/12,7.203,6.5571,5.78,4.82,10.2096,13.1755,8.2649,1.1163
2014/5/13,7.203,6.6169,5.76,4.74,10.0764,13.0139,8.1527,1.1155
2014/5/14,7.203,6.5671,5.52,4.75,10.1696,12.978,8.6015,1.1179
2014/5/15,7.203,6.4077,5.29,4.75,10.0631,12.7537,8.4706,1.1122
2014/5/16,7.203,6.4575,5.34,4.74,9.8699,12.9062,8.3771,1.1073
2014/5/19,7.203,6.4874,5.13,4.72,9.9365,13.2563,8.321,1.0991
2014/5/20,7.203,6.5372,5.18,4.7,10.0564,13.2563,8.3677,1.0885
2014/5/21,7.203,6.5771,5.21,4.72,10.1097,13.2563,8.4986,1.0902
2014/5/22,7.203,6.5372,5.06,4.66,10.0631,13.2473,8.4706,1.0991
2014/5/23,7.203,6.597,5.08,4.66,10.0364,13.6063,8.7324,1.1032
2014/5/26,7.203,6.6169,5.13,4.7,10.1097,13.5973,8.7511,1.1195
2014/5/27,7.203,6.5771,5.26,4.72,9.9898,13.705,8.723,1.1195
2014/5/28,7.203,6.6568,5.22,4.71,9.9898,13.7589,8.9754,1.1212
2014/5/29,7.203,6.5472,5.05,4.7,9.9232,13.8486,8.8819,1.122
2014/5/30,7.203,6.597,5.13,4.62,10.0897,14.3871,8.8445,1.1416
2014/6/3,6.4857,6.5472,5.23,4.64,10.103,14.3871,8.8352,1.1416
2014/6/4,5.8381,6.4376,5.26,4.74,10.1097,14.3871,8.9287,1.1416
2014/6/5,5.34,6.5073,5.27,4.74,10.1097,14.3871,9.125,1.1416
2014/6/6,5.22,6.4575,5.28,4.74,10.1563,14.3871,9.1811,1.1416
2014/6/9,5.06,6.4376,5.37,4.87,10.5093,14.3871,9.0876,1.1416
2014/6/10,5.05,6.4973,5.45,4.87,10.5559,14.3871,9.1718,1.1416
2014/6/11,5.07,6.4973,5.42,5.07,10.4027,14.3871,8.8819,1.1416
2014/6/12,5.06,6.4475,5.4,5.03,10.2429,14.3871,8.7604,1.1416
2014/6/13,5.05,6.5671,5.41,5.07,10.2362,14.3871,8.8819,1.1416
2014/6/16,5.08,6.5771,5.38,5.08,10.1829,14.3243,8.8445,1.1832
2014/6/17,5,6.5571,5.4,4.95,9.9831,14.4679,8.8539,1.224
2014/6/18,4.96,6.4774,5.3,5.05,9.77,14.3243,8.5454,1.215
2014/6/19,4.75,6.3379,5.14,4.96,9.5835,14.0371,8.6108,1.2158
2014/6/20,4.78,6.3778,5.18,4.95,9.6368,14.064,8.6295,1.2207
2014/6/23,4.81,6.4475,5.35,5,9.6368,14.5577,8.6108,1.2232
2014/6/24,4.8,6.4874,5.29,5.02,9.6368,14.6955,8.7884,1.2325
2014/6/25,4.76,6.5073,5.41,5.05,9.81,14.622,8.6763,1.2351
2014/6/26,4.8,6.7066,5.37,5.01,9.83,14.6312,8.7043,1.2444
2014/6/27,4.8,6.8162,5.43,5.04,9.8977,15.0631,8.6576,1.2768
2014/6/30,4.88,6.9856,5.53,5.01,9.9316,15.0815,8.723,1.2649
2014/7/1,4.89,6.9458,5.53,5,10.0061,15.5227,8.8539,1.2768
2014/7/2,5.07,6.9557,5.76,5.01,9.9858,15.7616,8.8352,1.2793
2014/7/3,5.02,6.8461,5.75,5,9.9113,15.6697,9.0222,1.2657
2014/7/4,4.97,6.9956,5.68,4.95,9.6606,15.3572,8.9661,1.2691
2014/7/7,4.9,6.896,5.68,4.96,9.5183,15.0356,8.9941,1.2734
2014/7/8,4.92,6.9258,5.73,4.96,9.498,15.9914,8.8352,1.2904
2014/7/9,4.8,6.7764,5.56,4.96,9.5454,16.2211,8.6202,1.287
2014/7/10,4.77,6.876,5.43,4.94,9.5793,15.8168,8.6389,1.2793
2014/7/11,4.87,6.886,5.47,4.95,9.4845,15.9638,8.6856,1.2802
2014/7/14,5.36,6.9358,5.54,4.94,9.5725,16.12,8.8352,1.2802
2014/7/15,5.36,6.886,5.57,4.96,9.5115,16.4049,8.8632,1.2751
2014/7/16,5.1,6.9458,5.53,4.97,9.3761,15.8719,8.6482,1.2598
2014/7/17,4.96,6.8561,5.47,4.95,9.288,15.8076,8.7237,1.2615
2014/7/18,4.95,6.886,5.49,4.93,9.3761,16.1017,8.3464,1.2785
2014/7/21,4.88,6.896,5.45,4.88,9.3693,16.1752,8.2521,1.2802
2014/7/22,4.92,6.9856,5.51,4.92,9.4099,16.0465,8.2804,1.2734
2014/7/23,4.84,6.9059,5.56,4.91,9.3151,15.7708,8.2804,1.27
2014/7/24,4.86,6.9059,5.59,4.9,9.1593,15.6789,8.1295,1.2725
2014/7/25,4.97,6.9856,5.59,4.85,9.3422,15.5778,8.1578,1.2768
2014/7/28,5.08,7.0753,5.61,4.89,9.5861,16.0006,8.3087,1.2827
2014/7/29,5.07,7.2447,5.67,4.85,9.6064,16.3682,8.3087,1.2896
2014/7/30,5.16,7.3344,5.67,4.89,9.6199,16.3314,8.3464,1.2887
2014/7/31,5.21,7.3145,5.66,4.89,9.7554,16.3498,8.5067,1.3049
2014/8/1,5.11,7.2447,5.57,4.86,9.5861,15.9546,8.7142,1.3134
2014/8/4,5.28,7.2946,5.62,4.83,9.708,16.2579,8.9406,1.3194
2014/8/5,5.32,7.2746,5.67,4.9,9.7351,16.2487,8.9028,1.3347
2014/8/6,5.29,7.3245,5.66,4.88,9.7554,16.0649,8.9406,1.3355
2014/8/7,5.23,7.2746,5.6,4.87,9.7283,16.2671,9.0254,1.3415
2014/8/8,5.24,7.3245,5.73,4.89,9.8435,16.1752,9.0915,1.3457
2014/8/11,5.6,7.4341,5.79,4.96,10.0196,17.2045,8.9689,1.3577
2014/8/12,5.55,7.454,5.84,5.02,10.0061,17.1861,9.4876,1.3849
2014/8/13,5.67,7.4739,5.78,4.99,9.8503,17.5905,9.4876,1.3926
2014/8/14,5.78,7.4241,5.84,5,9.8232,17.278,9.0632,1.396
2014/8/15,5.77,7.464,5.9,4.99,9.9383,17.664,8.95,1.4257
2014/8/18,6.09,7.5636,5.96,5,10.1619,18.2982,8.9594,1.4504
2014/8/19,6.03,7.7231,6.38,5.07,10.128,18.1603,8.9217,1.4581
2014/8/20,6.16,7.7031,6.48,5.13,10.2432,17.9214,9.0726,1.4564
2014/8/21,6.26,7.8227,6.7,5.18,10.2161,17.6824,8.9972,1.4326
2014/8/22,6.16,7.8725,6.71,5.15,10.311,18.2063,8.9689,1.4658
2014/8/25,5.96,7.6633,6.52,5.05,10.2703,18.4636,9.0066,1.4649
2014/8/26,5.83,7.4939,6.36,4.99,9.8706,18.0133,8.6576,1.4479
2014/8/27,5.78,7.5537,6.58,5.11,9.918,17.9765,8.6482,1.4513
2014/8/28,5.74,7.4939,6.45,5.08,10.1551,17.9673,8.5728,1.4479
2014/8/29,5.82,7.6832,6.39,5.07,10.1551,18.5555,8.5445,1.4453
2014/9/1,6.01,7.8825,6.44,5.08,10.3245,19.0334,8.7048,1.5083
2014/9/2,6.12,7.9523,6.63,5.13,10.3245,19.0426,8.818,1.5092
2014/9/3,6.06,8.0021,6.66,5.12,10.3245,19.061,8.9877,1.5151
2014/9/4,6.08,8.1815,6.8,5.18,10.3245,19.1529,9.0254,1.5126
2014/9/5,6.04,8.1715,6.82,5.2,10.3245,19.061,8.9123,1.5262
2014/9/9,6.07,8.1316,6.75,5.2,10.3245,18.8404,8.8463,1.516
2014/9/10,6.19,8.2413,6.86,5.23,10.3245,19.4562,9.1763,1.5194
2014/9/11,6.29,8.2712,7.02,5.37,10.3245,19.0426,9.1292,1.5202
2014/9/12,6.61,8.5502,7.44,5.53,10.3245,19.0885,9.1575,1.51
2014/9/15,6.56,8.6,7.44,5.53,10.3245,19.5756,9.2707,1.5041
2014/9/16,6.13,8.2313,7.08,5.43,10.3245,18.9415,8.9594,1.4845
2014/9/17,6.23,8.4505,7.28,5.5,10.3245,19.1161,9.082,1.4913
2014/9/18,6.22,8.5801,7.2,5.46,10.3245,19.015,9.0443,1.5058
2014/9/19,6.24,8.8192,7.26,5.53,10.3245,19.2724,9.1386,1.5134
2014/9/22,6.29,8.8093,6.98,5.49,10.3245,18.9691,8.9594,1.5168
2014/9/23,6.4,8.8392,7.08,5.53,10.3245,18.9323,9.2424,1.5568
2014/9/24,6.42,8.9986,7.25,5.65,10.3245,19.015,9.2612,1.5943
2014/9/25,6.41,8.879,7.16,5.59,10.3245,18.7117,9.1952,1.5934
2014/9/26,6.34,8.8491,7.21,5.63,10.3245,18.1971,9.2989,1.5688
2014/9/29,6.42,8.9289,7.36,5.69,10.3245,18.4544,9.5064,1.5653
2014/9/30,6.4,9.0584,7.4,5.75,10.3245,18.9323,9.8837,1.5636
2014/10/8,6.39,9.0385,7.39,5.75,10.3245,18.8036,9.9214,1.5747
2014/10/9,6.26,8.899,7.46,5.75,10.3245,18.289,9.8459,1.5339
2014/10/10,6.09,8.7694,7.38,5.61,10.3245,17.9765,9.6196,1.5066
2014/10/13,6.15,8.8591,7.21,5.55,10.3245,17.857,10.1572,1.4819
2014/10/14,6.33,8.9588,7.2,5.51,10.3245,17.9581,9.9874,1.4845
2014/10/15,6.2,8.9289,7.16,5.51,10.3245,18.1144,10.2326,1.4921
2014/10/16,6.05,8.8691,7.04,5.56,10.3245,17.7467,10.11,1.4768
2014/10/17,5.98,8.4804,6.87,5.56,10.3245,18.3166,9.8271,1.4964
2014/10/20,6.1,8.6698,6.99,5.56,10.3245,18.3901,10.0723,1.5219
2014/10/21,6.06,8.5701,7.14,5.58,10.3245,18.3166,10.1477,1.5075
2014/10/22,5.99,8.5601,7.15,5.6,10.3245,18.5279,10.4024,1.5168
2014/10/23,5.81,8.3907,7.3,5.62,10.3245,18.3809,9.912,1.4666
2014/10/24,5.74,8.3907,7.36,5.68,10.3245,18.4636,10.3175,1.4921
2014/10/27,5.77,8.3907,7.48,5.76,10.3245,19.7503,10.5155,1.5356
2014/10/28,5.9,8.6199,7.56,5.77,10.3245,21.2115,10.6476,1.5968
2014/10/29,6.02,8.7694,7.56,5.78,10.3245,21.331,10.8079,1.5917
2014/10/30,6.04,8.8691,7.94,5.81,10.3245,21.0369,10.6947,1.5926
2014/10/31,6.11,9.1182,7.83,5.77,10.3245,20.8164,11.0342,1.573
2014/11/3,6.13,9.5666,7.95,5.78,10.3245,21.2759,11.138,1.5815
2014/11/4,6.04,9.3972,7.74,5.66,10.3245,21.5424,10.9211,1.59
2014/11/5,6.05,9.3374,7.81,5.68,10.3245,21.5332,11.138,1.59
2014/11/6,6.05,9.4172,7.66,5.48,10.3245,22.1765,11.2606,1.6317
2014/11/7,6.1,9.2577,7.58,5.57,10.3245,23.0772,11.2417,1.6377
2014/11/10,6.16,9.467,7.7,5.78,10.3245,23.0772,11.2417,1.6377
2014/11/11,5.92,9.168,7.69,5.84,10.3245,23.0772,10.7702,1.6377
2014/11/12,5.92,9.2876,7.7,5.81,10.3245,23.0772,10.8739,1.6377
2014/11/13,5.81,9.6165,7.76,6,10.3245,23.0772,11.2134,1.6377
2014/11/14,5.8,9.5068,7.48,6.02,10.3245,23.0772,11.3926,1.6377
2014/11/17,5.84,9.4371,7.55,6.03,10.3245,23.0772,11.4021,1.6377
2014/11/18,5.88,9.457,7.63,6.01,10.3245,23.0772,11.4021,1.6377
2014/11/19,5.94,9.4471,7.87,6,10.3245,23.0772,11.6944,1.6377
2014/11/20,6.02,9.4172,7.99,6.01,10.3245,23.0772,11.6284,1.6377
2014/11/21,6.01,9.3972,8.03,6.14,10.3245,23.0772,11.6284,1.6377
2014/11/24,6.03,9.6663,7.97,6.33,10.3245,23.0772,11.9113,1.6377
2014/11/25,6.26,9.6364,8.06,6.52,10.3245,23.0772,11.9679,1.6377
2014/11/26,6.26,10.1347,8.02,6.8,10.3245,23.0772,11.883,1.6377
2014/11/27,6.27,10.1446,7.83,6.61,10.3245,23.0772,11.619,1.6377
2014/11/28,6.21,10.4237,7.83,6.58,10.3245,23.0772,11.6284,1.6377
2014/12/1,6.07,10.1247,7.59,6.26,10.3245,23.0772,11.2889,1.6377
2014/12/2,6.17,10.0749,7.66,6.44,10.3245,23.0772,11.1757,1.6377
2014/12/3,6.25,10.1646,7.71,6.45,10.3245,23.0772,11.0814,1.6377
2014/12/4,6.28,10.0848,7.69,6.42,10.3245,23.0772,11.138,1.6377
2014/12/5,6.03,9.6663,7.23,6.2,10.3245,23.0772,10.6759,1.6377
2014/12/8,5.91,9.6763,7.16,6.14,10.3245,23.0772,10.9211,1.6377
2014/12/9,5.66,9.6862,6.66,5.73,10.3245,23.0772,10.3552,1.6377
2014/12/10,6.17,9.8756,7.14,5.94,10.3245,23.0772,10.6759,1.6377
2014/12/11,6.23,10.8621,7.35,5.89,10.3245,23.0772,10.8173,1.6377
2014/12/12,6.35,10.5931,7.44,5.9,10.3245,23.0772,11.0248,1.6377
2014/12/15,6.35,11.2607,7.46,5.9,10.3245,23.0772,11.1003,1.6377
2014/12/16,6.35,11.0415,7.46,6.02,11.3542,23.0772,11.2795,1.6377
2014/12/17,6.35,10.7126,7.43,6.01,11.6388,23.0772,10.9022,1.6377
2014/12/18,6.35,10.623,7.2,5.87,11.212,23.0772,10.8362,1.6377
2014/12/19,6.35,10.2343,7.28,5.81,10.7784,23.0772,10.6664,1.6377
2014/12/22,6.35,9.7161,6.71,5.58,10.6632,23.0772,9.9403,1.6377
2014/12/23,6.35,9.6862,6.55,5.58,10.9071,23.0772,9.9497,1.6377
2014/12/24,6.35,9.9553,6.78,5.69,10.9816,23.0772,10.11,1.6377
2014/12/25,6.35,10.3439,6.86,5.72,11.1713,23.0772,10.2043,1.6377
2014/12/26,6.35,11.0814,7.16,5.76,11.2933,23.0772,10.2986,1.6377
2014/12/29,6.35,11.181,7.02,5.79,11.4965,23.0772,9.9685,1.6377
2014/12/30,5.72,10.5731,6.92,5.87,11.3204,23.0772,9.7705,1.6377
2014/12/31,5.82,10.5532,6.83,6.05,11.1442,23.0772,9.9025,1.6377
2015/1/5,6.03,10.5233,6.84,5.99,11.4626,23.0772,10.1855,1.6377
2015/1/6,6.05,10.6529,6.99,5.99,11.5033,23.0772,10.7607,1.6377
2015/1/7,6.02,10.9518,6.85,5.97,11.4152,23.0772,10.8456,1.6377
2015/1/8,5.96,10.7724,6.85,5.99,11.1442,23.0772,10.8362,1.6377
2015/1/9,5.86,10.5731,6.82,5.94,11.151,23.0772,10.8079,1.6377
2015/1/12,5.78,10.0749,6.73,5.93,11.3678,23.0772,11.3549,1.6377
2015/1/13,5.9,10.2044,6.85,5.96,11.3949,23.0772,11.9868,1.6377
2015/1/14,5.82,10.1247,6.94,5.97,11.4423,23.0772,11.9585,1.6377
2015/1/15,5.86,10.4436,6.91,5.99,11.4559,23.0772,12.0245,1.6377
2015/1/16,5.9,10.4137,7,6.02,11.4694,23.0772,11.9962,1.6377
2015/1/19,5.66,9.8656,6.75,5.75,10.7378,24.0146,11.6378,1.7075
2015/1/20,5.76,10.1944,7.01,5.87,10.9139,24.4558,12.0811,1.7313
2015/1/21,5.87,10.3439,7.08,5.99,11.1646,24.7223,12.232,1.7271
2015/1/22,5.94,10.5432,7.17,6,11.1917,25.8895,11.9962,1.7705
2015/1/23,6.13,10.7126,7.25,6.01,11.4491,25.4759,11.7038,1.7449
2015/1/26,6.19,10.7425,7.6,6.38,11.9978,26.6155,12.6092,1.7577
2015/1/27,6.25,10.6529,7.71,6.64,12.1875,25.577,12.3074,1.7713
2015/1/28,6.15,10.7625,7.51,6.45,11.9843,25.1175,12.2508,1.7662
2015/1/29,6.17,10.9418,7.75,6.48,11.7675,24.8418,12.1848,1.7475
2015/1/30,6.35,10.5632,7.9,6.48,11.8285,23.9135,12.1848,1.7407
2015/2/2,6.1,10.4635,7.54,6.35,11.3881,24.1984,11.883,1.739
2015/2/3,6.23,10.5532,7.6,6.43,11.4355,24.1617,11.8736,1.7356
2015/2/4,6.16,10.6529,7.63,6.45,11.2323,23.2151,11.8359,1.7109
2015/2/5,6.12,10.9319,7.53,6.49,11.0629,22.8199,11.685,1.7135
2015/2/6,6.01,10.8621,7.4,6.36,10.9274,22.1673,11.4492,1.6828
2015/2/9,6.01,10.4934,7.51,6.41,11.0697,22.2501,11.5907,1.6871
2015/2/10,6.09,10.4535,7.71,6.47,11.09,22.4155,11.7416,1.7118
2015/2/11,6.7,10.8821,7.65,6.42,11.1104,22.3236,11.751,1.7398
2015/2/12,6.71,10.8522,7.69,6.31,11.2933,23.4448,11.8547,1.7918
2015/2/13,7.08,11.4899,7.77,6.47,11.4152,23.4264,11.9491,1.7798
2015/2/16,7.06,11.5198,8.08,6.48,11.4694,24.2811,12.3546,1.785
2015/2/17,7.13,11.5597,8.03,6.64,11.4626,25.43,12.3169,1.8233
2015/2/25,7.26,11.191,7.97,6.68,11.2594,24.9612,12.2131,1.8096
2015/2/26,7.2,11.5099,7.89,6.61,11.4423,24.6488,13.4391,1.796
2015/2/27,7.16,11.4999,7.87,6.62,11.5778,24.6304,13.6655,1.796
2015/3/2,7.67,12.0878,8.15,6.67,11.6117,24.5569,13.7692,1.813
